Group,week,Embolse,conteo,Group_Count
7,47,573,17,G7_C17
7,48,674.25,17,G7_C17
7,49,722.25,17,G7_C17
11,1,199.5,7,G11_C7
11,2,221.25,7,G11_C7
11,3,243.75,7,G11_C7
11,4,273.5,7,G11_C7
11,5,306,7,G11_C7
11,6,378,7,G11_C7
11,7,436.25,7,G11_C7
11,8,508,7,G11_C7
11,9,576,7,G11_C7
11,10,615.75,7,G11_C7
11,11,610.25,7,G11_C7
11,12,574,7,G11_C7
11,13,513.5,7,G11_C7
11,14,463.25,7,G11_C7
11,15,386.75,7,G11_C7
11,16,322,7,G11_C7
11,17,263,7,G11_C7
11,18,188,7,G11_C7
11,19,161,7,G11_C7
11,20,119.25,7,G11_C7
11,21,84.75,7,G11_C7
11,22,68.75,7,G11_C7
11,23,54,7,G11_C7
11,24,49.25,7,G11_C7
11,25,52.75,7,G11_C7
11,26,65.25,7,G11_C7
11,27,95.25,7,G11_C7
11,28,140,7,G11_C7
11,29,215.25,7,G11_C7
11,30,287.5,7,G11_C7
11,31,361,7,G11_C7
11,32,435.25,7,G11_C7
11,33,490.25,7,G11_C7
11,34,521.25,7,G11_C7
11,35,533.5,7,G11_C7
11,36,518.75,7,G11_C7
11,37,484.5,7,G11_C7
11,38,460.5,7,G11_C7
11,39,435.75,7,G11_C7
11,40,420.75,7,G11_C7
11,41,377.5,7,G11_C7
11,42,345,7,G11_C7
11,43,316.5,7,G11_C7
11,44,267,7,G11_C7
11,45,249.25,7,G11_C7
11,46,222.5,7,G11_C7
11,47,191,7,G11_C7
11,48,176.25,7,G11_C7
11,49,168,7,G11_C7
11,50,180,7,G11_C7
12,1,759,9,G12_C9
12,2,751,9,G12_C9
12,3,693.75,9,G12_C9
12,4,624,9,G12_C9
12,5,548.5,9,G12_C9
12,6,489,9,G12_C9
12,7,437.75,9,G12_C9
12,8,458.5,9,G12_C9
12,9,442,9,G12_C9
12,10,423.5,9,G12_C9
12,11,414.75,9,G12_C9
12,12,397.5,9,G12_C9
12,13,395.75,9,G12_C9
12,14,380.5,9,G12_C9
12,15,373.25,9,G12_C9
12,16,379.75,9,G12_C9
12,17,385.25,9,G12_C9
12,18,391.75,9,G12_C9
12,19,401.75,9,G12_C9
12,20,412.75,9,G12_C9
12,21,433.5,9,G12_C9
12,22,463.5,9,G12_C9
12,23,500.5,9,G12_C9
12,24,508.5,9,G12_C9
12,25,519,9,G12_C9
12,26,524.5,9,G12_C9
12,27,494.75,9,G12_C9
12,28,455,9,G12_C9
12,29,418.75,9,G12_C9
12,30,389.25,9,G12_C9
12,31,380,9,G12_C9
12,32,385,9,G12_C9
12,33,378,9,G12_C9
12,34,371.25,9,G12_C9
12,35,368.75,9,G12_C9
12,36,374.5,9,G12_C9
12,37,375,9,G12_C9
12,38,372.75,9,G12_C9
12,39,357,9,G12_C9
12,40,348.25,9,G12_C9
12,41,361.75,9,G12_C9
12,42,352.5,9,G12_C9
12,43,354.25,9,G12_C9
12,44,354.75,9,G12_C9
12,45,329.5,9,G12_C9
12,46,334,9,G12_C9
12,47,354.5,9,G12_C9
12,48,370,9,G12_C9
12,49,392.75,9,G12_C9
13,1,507.25,15,G13_C15
13,2,550.5,15,G13_C15
13,3,560,15,G13_C15
13,4,560,15,G13_C15
13,5,553,15,G13_C15
13,6,536.75,15,G13_C15
13,7,530.75,15,G13_C15
13,8,509.5,15,G13_C15
13,9,479,15,G13_C15
13,10,438,15,G13_C15
13,11,426.5,15,G13_C15
13,12,400.75,15,G13_C15
13,13,395.75,15,G13_C15
13,14,423,15,G13_C15
13,15,349.75,15,G13_C15
13,16,358.25,15,G13_C15
13,17,362.5,15,G13_C15
13,18,325.75,15,G13_C15
13,19,388,15,G13_C15
13,20,413,15,G13_C15
13,21,435.5,15,G13_C15
13,22,467,15,G13_C15
13,23,501.5,15,G13_C15
13,24,454.25,15,G13_C15
13,25,394,15,G13_C15
13,26,332.25,15,G13_C15
13,27,300.5,15,G13_C15
13,28,323,15,G13_C15
13,29,356,15,G13_C15
13,30,384,15,G13_C15
13,31,380,15,G13_C15
13,32,374,15,G13_C15
13,33,362,15,G13_C15
13,34,363.5,15,G13_C15
13,35,350,15,G13_C15
13,36,344.25,15,G13_C15
13,37,344,15,G13_C15
13,38,430.5,15,G13_C15
13,39,577.75,15,G13_C15
13,40,667.75,15,G13_C15
13,41,790,15,G13_C15
13,42,837.75,15,G13_C15
13,43,828,15,G13_C15
13,44,874.5,15,G13_C15
13,45,885.75,15,G13_C15
13,46,878.25,15,G13_C15
13,47,930.75,15,G13_C15
13,48,940.5,15,G13_C15
13,49,924.25,15,G13_C15
14,1,884.25,13,G14_C13
14,2,900.75,13,G14_C13
14,3,804.25,13,G14_C13
14,4,649,13,G14_C13
14,5,470,13,G14_C13
14,6,336.25,13,G14_C13
14,7,226.25,13,G14_C13
14,8,146,13,G14_C13
14,9,103.5,13,G14_C13
14,10,76,13,G14_C13
14,11,57.5,13,G14_C13
14,12,45,13,G14_C13
14,13,37.75,13,G14_C13
14,14,28,13,G14_C13
14,15,22.25,13,G14_C13
14,16,18,13,G14_C13
14,17,14,13,G14_C13
14,18,13.5,13,G14_C13
14,19,14.5,13,G14_C13
14,20,15.25,13,G14_C13
14,21,18,13,G14_C13
14,22,44.5,13,G14_C13
14,23,95.5,13,G14_C13
14,24,183.5,13,G14_C13
14,25,288.25,13,G14_C13
14,26,388.75,13,G14_C13
14,27,494.25,13,G14_C13
14,28,537,13,G14_C13
14,29,597.75,13,G14_C13
14,30,601.75,13,G14_C13
14,31,554,13,G14_C13
14,32,518.75,13,G14_C13
14,33,422,13,G14_C13
14,34,362.5,13,G14_C13
14,35,297,13,G14_C13
14,36,240.5,13,G14_C13
14,37,196.5,13,G14_C13
14,38,151,13,G14_C13
14,39,135,13,G14_C13
14,40,123,13,G14_C13
14,41,127.25,13,G14_C13
14,42,130.75,13,G14_C13
14,43,116.75,13,G14_C13
14,44,105.75,13,G14_C13
14,45,98.25,13,G14_C13
14,46,95.25,13,G14_C13
14,47,114.5,13,G14_C13
14,48,133.25,13,G14_C13
14,49,185.25,13,G14_C13
